date,site,asset,component,LM_handleNegCoreTempDegC_min,LM_handleNegCoreTempDegC_avg,LM_handleNegCoreTempDegC_max,LM_handlePosCoreTempDegC_min,LM_handlePosCoreTempDegC_avg,LM_handlePosCoreTempDegC_max,LM_pcbaTempDegC_min,LM_pcbaTempDegC_avg,LM_pcbaTempDegC_max,LM_powerLimit_avg,LM_powerLimit_max,unused_duration,estimated_utilization
2022-03-13,-2073653851,-2114409912,-1747047773,19.834802028096263,39.7157446846954,56.99600920688792,19.817863981243693,39.463433625377405,53.324977464554735,27.558808076788434,38.02708079728399,44.297135339877805,101.99685481594408,277.2406322269321,70595,0.18291774305555555
2022-03-14,-2073653851,-2114409912,-1747047773,34.80691673350068,47.41248233321704,60.277988416273416,34.5468819747228,47.4215481637909,61.45114145432408,34.66742129191179,41.369428247114385,47.81218844697223,118.1996025800438,298.2215787157644,81788,0.05336908564814815
2022-03-15,-2073653851,-2114409912,-1747047773,40.78949783152263,56.69302430317358,68.54457423443168,40.8018408857872,56.5188183510321,66.79191511715318,46.53002754654673,54.04264603045786,57.688573765977175,113.74780188686785,287.0823831373578,78600,0.0902759837962963
2022-03-17,-2073653851,-2114409912,-1747047773,38.60287671317338,47.40399101846262,52.18303659204045,38.87014381191978,47.226479163431435,51.73680445112675,45.0300210381527,47.32986944372009,48.843334106159006,101.18358249274895,214.38801582125052,84524,0.021712523148148147
2022-03-18,-2073653851,-2114409912,-1747047773,35.18245912517544,54.85429123239154,91.87979779052016,35.5793741476967,54.89795700072048,88.33548533545739,40.350695918665565,52.690633656124234,63.72300795295299,104.88354442115443,359.1428338547392,75860,0.1219874074074074
2022-03-19,-2073653851,-2114409912,-1747047773,36.2621004271324,60.71684661072321,83.4304286220289,36.22853976006827,60.34646606356492,80.06605381730058,43.945529841254334,55.45656895943853,62.58901971825367,122.32183871996084,301.7660703159603,67759,0.21574371527777778
2022-03-12,-2073653851,-2114409912,426278167,23.367280304463797,38.06335714142888,61.66432665659142,21.90231875927445,38.3024293546849,62.093103233502354,30.765259222639266,36.453234842314735,45.40873760544852,106.4033424326192,306.2770739879386,74402,0.13885939814814816
2022-03-13,-2073653851,-2114409912,426278167,19.691254138108327,36.537726033025585,47.35187475298677,19.525848081897703,36.32739290251373,47.17221683587334,26.584744860765646,35.971185571935834,43.33319986429301,96.89288521443409,271.320944127284,66373,0.23179331018518518
2022-03-14,-2073653851,-2114409912,426278167,25.401114817765475,43.83604538277695,56.2645363837428,25.36949362809761,43.07797725632567,54.72139829771545,32.03547639874201,42.88196678057575,49.65852397344149,91.99620641100671,246.16614555115927,79186,0.08349417824074074
2022-03-15,-2073653851,-2114409912,426278167,33.89292352642997,54.29852011395098,79.8515909376446,34.868528126841056,54.43016645175602,79.41512257316379,33.776043251354935,48.72659315039639,58.8306084081822,113.06151370206634,312.2790951763382,76673,0.11257746527777777
2022-03-16,-2073653851,-2114409912,426278167,35.02358568717725,56.54895567498369,66.63999307919137,34.44009248397974,55.66100545091581,65.27463763859004,43.20129337939353,52.11823304051192,55.84607301069589,152.70124909166748,265.97773764204305,84733,0.019293622685185186
2022-03-17,-2073653851,-2114409912,426278167,36.34342627191153,51.07880525150026,62.16632414728917,36.29650138348794,50.85843739986536,61.13216622610976,43.99085963741506,49.47520937543391,54.478350016506994,115.31731464907021,297.3192964082076,74500,0.1377299074074074
2022-03-18,-2073653851,-2114409912,426278167,41.06839430494792,57.45485993119836,68.64938605284145,42.60163734208793,57.545097287691284,69.08135541338271,41.51160903810679,55.53560146270766,60.304625670061434,129.7210640008993,301.591301746512,80324,0.07032142361111111
2022-03-19,-2073653851,-2114409912,426278167,38.60963070255433,58.736370961213744,67.74238032522376,38.8508058123586,58.57509929863613,67.8538545474103,44.277152144599256,53.31736375655682,59.61634496257978,130.87850816793505,308.7827694460708,78556,0.09078466435185185
2022-03-12,-2073653851,-2114409912,1130578083,22.029229486535847,39.51324518964303,66.98473170195201,21.8455390586157,38.268771748706335,60.39257531810989,29.629199540543254,38.20183158019144,46.32570088769789,112.3481111017814,358.9396793238554,73484,0.14948391203703704
2022-03-13,-2073653851,-2114409912,1130578083,19.34051128689159,39.915151271546264,59.09148453357135,18.73593728830672,39.3078032062626,56.14594281327293,23.836432710499942,36.64833111700791,44.62470718411405,112.30574078662261,315.8135123804945,75659,0.12431269675925925
2022-03-14,-2073653851,-2114409912,1130578083,26.76160936902964,48.465395413057585,66.84848484331674,28.248289856685727,48.70763392878064,64.87538000295648,28.8690146182238,40.207526284426976,49.65168194610271,122.85934173272821,316.9145347944427,79828,0.07606098379629629
2022-03-15,-2073653851,-2114409912,1130578083,26.5091171313693,54.09249324330382,72.11225080284284,26.636849289002097,53.009030548896604,71.45464035777323,34.68179736989697,46.091585238645386,54.9864607861641,123.80035683472802,231.93814200040623,81607,0.055472372685185185
2022-03-16,-2073653851,-2114409912,1130578083,28.61741511423825,54.5326149927776,96.44730827470464,28.555102434385123,53.299569448168974,90.16240398375302,36.5113493181004,48.210216286996705,58.20147897981748,126.68032559820963,405.5847286704778,75896,0.12157140046296297
2022-03-17,-2073653851,-2114409912,1130578083,37.61192407951208,58.276699267515006,65.19696420336012,37.32619878771548,54.78979078056294,61.43360817358872,45.22650838810912,47.282518311516164,49.09475916355884,240.80742419854636,286.7697362710207,85744,0.007592349537037037
2022-03-18,-2073653851,-2114409912,1130578083,46.8836543509414,59.62823107376828,75.23361857663221,46.92859225530006,58.412870042150836,71.65701683068345,46.50773280053478,57.14635336861798,62.79910584119412,124.49136125767657,311.70223766283834,77744,0.10018202546296297
2022-03-19,-2073653851,-2114409912,1130578083,38.416053476640215,55.7640131804129,73.3892100306512,38.35888131336831,55.213689811174945,73.28728577171026,44.71747853212747,54.841843769452446,59.69489372276611,85.02878711739514,279.24114536705605,67276,0.22133552083333333
2022-03-12,-2073653851,-2114409912,2017995038,21.72403754953089,56.14214053270784,87.02063664861359,22.15256723460171,56.29225009679022,90.0909696049107,30.082596234576464,38.06660178568842,45.586852612660785,150.24312709351275,319.10980788410086,79782,0.07659421296296297
2022-03-13,-2073653851,-2114409912,2017995038,16.98833587699401,41.35070156260017,66.36143187956665,17.41213420240199,41.38101430664322,66.81646704584033,23.66671124608384,33.81644698024834,42.71051823512387,98.49658461799021,306.9567804127312,67596,0.21763072916666668
