,datetime_timestamp,component,LM_handleNegCoreTempDegC,LM_handlePosCoreTempDegC,LM_pcbaTempDegC,LM_powerLimit,alert_name
0,2022-03-12 19:06:50.185,-46972795,34.799605073164464,52.55056225544003,29.91295347231909,296.2859721127311,LM_a141_cableTempImbalance
1,2022-03-12 19:08:17.880,-46972795,40.09744985782692,59.48601862044507,31.318638066840965,284.0448804226411,LM_a141_cableTempImbalance
2,2022-03-12 19:09:54.877,-46972795,44.17763157341081,63.58284438997253,31.20009914748441,265.35981770037364,LM_a141_cableTempImbalance
3,2022-03-12 19:11:53.272,-46972795,48.9191796599774,69.32222071006457,32.30610742702179,244.1388383012853,LM_a141_cableTempImbalance
4,2022-03-18 16:12:08.967,-1702932383,72.97310606055373,53.80312513861932,53.26514740443227,135.9312547715395,LM_a141_cableTempImbalance
5,2022-03-18 16:15:05.662,-1702932383,74.83186327331818,55.19210640266272,53.45066645392782,130.5253101284131,LM_a141_cableTempImbalance
6,2022-03-19 21:15:22.678,-1702932383,56.20220849895267,74.94166566048324,54.7804092358538,298.3637789047973,LM_a141_cableTempImbalance
7,2022-03-19 21:16:52.775,-1702932383,60.56108981653372,79.95911009744951,55.211542829757214,287.4081186472068,LM_a141_cableTempImbalance
8,2022-03-19 21:18:23.174,-1702932383,62.62414745652629,79.68141228002025,55.675516950788406,277.5166309181251,LM_a141_cableTempImbalance
9,2022-03-19 21:19:51.771,-1702932383,65.3354997945719,83.94442397286683,55.72930625873796,268.2951015674201,LM_a141_cableTempImbalance
10,2022-03-19 21:21:23.469,-1702932383,67.81066841376985,87.11954014936178,56.52922022827706,257.1655924721023,LM_a141_cableTempImbalance
11,2022-03-19 21:23:00.367,-1702932383,69.69318853618847,88.36962350144343,57.43245881158391,235.61463029696893,LM_a141_cableTempImbalance
12,2022-03-19 21:24:57.263,-1702932383,71.60979514452514,91.233117185157,57.183121371895815,206.94702014469303,LM_a141_cableTempImbalance
13,2022-03-16 21:52:09.839,-1843899103,50.38461217193044,51.07608845491784,48.09925538305173,82.0239665559678,LM_a247_ambientTempStale
14,2022-03-17 21:11:06.031,-1843899103,49.23100105252387,49.462596276852494,52.51706343099692,54.57174239203761,LM_a247_ambientTempStale
15,2022-03-16 21:52:09.839,-404457910,43.34690553284749,44.02805793166333,44.56833934970654,20.83646618708104,LM_a247_ambientTempStale
16,2022-03-19 15:07:30.114,-404457910,42.80754811058464,42.77420751818654,44.69573498267792,54.7249062848402,LM_a247_ambientTempStale
17,2022-03-16 21:52:09.839,-358949053,48.7316337125389,48.5498849540195,51.846942026152846,20.33589095246014,LM_a247_ambientTempStale
18,2022-03-19 15:07:30.114,-358949053,41.00570982968172,40.93328838458358,46.216942469057486,34.70416521949062,LM_a247_ambientTempStale
19,2022-03-16 21:52:09.839,1105510009,40.29067628898738,41.18083065939834,44.2941984474431,46.49839283935049,LM_a247_ambientTempStale
20,2022-03-17 21:11:06.031,1105510009,71.07377562014042,69.33272568322134,52.62041092583495,225.81418639551836,LM_a247_ambientTempStale
21,2022-03-19 15:07:30.114,1105510009,52.15654801162443,52.99230473505777,55.08283043419724,69.18841185695143,LM_a247_ambientTempStale
22,2022-03-15 22:03:32.414,399812473,101.4766765361007,81.88989205567607,66.27049332100987,255.61401721815147,LM_a141_cableTempImbalance
23,2022-03-14 11:57:25.505,-226928606,72.14429237102428,58.174798253356734,40.32516286627671,270.68361788928445,LM_a141_cableTempImbalance
24,2022-03-15 15:19:29.180,-226928606,70.21199543954562,54.64296221230031,44.43221115745452,170.99199805622078,LM_a141_cableTempImbalance
25,2022-03-13 17:37:39.705,-837209140,49.08992303688579,52.624993140671926,54.95351004334424,80.73075342561744,LM_a141_cableTempImbalance
26,2022-03-13 17:45:02.594,-837209140,42.823898672554726,50.35241466234033,54.38823613428234,67.61850094022068,LM_a141_cableTempImbalance
27,2022-03-13 18:33:06.513,-837209140,44.922387377751605,54.85336852724848,54.48226597846718,73.79798742972062,LM_a141_cableTempImbalance
28,2022-03-14 02:28:37.339,-837209140,56.32492424260224,66.10103026489277,50.34997291833144,259.31555573876113,LM_a141_cableTempImbalance
29,2022-03-14 02:28:43.739,-837209140,37.95617043233226,66.69590277373965,50.60205925251848,261.0523665271542,LM_a141_cableTempImbalance
30,2022-03-14 02:28:52.539,-837209140,55.27218506581336,66.22467558560064,50.327671353279655,20.87414852046337,LM_a141_cableTempImbalance
31,2022-03-14 02:29:01.338,-837209140,39.35057821805771,66.26924627011583,50.213263126343485,20.07594562983881,LM_a141_cableTempImbalance
32,2022-03-14 02:30:37.636,-837209140,62.37884475087191,65.57395341529516,50.64086578275768,252.10156744599695,LM_a141_cableTempImbalance
33,2022-03-14 02:31:29.534,-837209140,50.33164627519994,67.9329980087295,50.441050055944245,236.86669012533824,LM_a141_cableTempImbalance
34,2022-03-14 02:31:40.634,-837209140,55.40944072352266,68.31927112060659,50.98520517070638,236.68719735324484,LM_a141_cableTempImbalance
35,2022-03-14 02:32:04.134,-837209140,57.40570170235126,68.6888592559087,50.76098937074049,20.11059176741138,LM_a141_cableTempImbalance
36,2022-03-14 05:48:49.290,-837209140,65.22222061032623,66.17334874721615,51.53772817300828,146.70262839445596,LM_a141_cableTempImbalance
37,2022-03-14 05:48:53.189,-837209140,47.615603518566246,65.96055078122151,51.53772817300828,148.04924083760065,LM_a141_cableTempImbalance
38,2022-03-14 05:49:39.088,-837209140,46.85604231912085,64.30548519518526,51.06570219556637,142.83669456835858,LM_a141_cableTempImbalance
